BENZOYLFORMATE-DECARBOXYLASE-RXN_reverse,rule0024_16
2.6.1.41-RXN
2.6.1.41-RXN_reverse
RXN-15030
RXN-15030_reverse
RXN-7626,rule0021_23
RXN-7626_reverse,rule0022_08
RXN-17980
RXN-17980_reverse
DOPAMINE-BETA-MONOOXYGENASE-RXN,rule0468_2
DOPAMINE-BETA-MONOOXYGENASE-RXN_reverse,rule0469_2
RXN-15529,rule0010_27
RXN-15529_reverse,rule0011_16
RXN-14012,rule0001_35
RXN-14012_reverse,rule0001_28
RXN-18405,rule0458_1
RXN-18405_reverse,rule0459_1
RXN-11601,rule0046_3
RXN-11601_reverse,rule0043_05
R603-RXN
R603-RXN_reverse
TRANS-RXN-194
TRANS-RXN-194_reverse
2-METHYLCITRATE-SYNTHASE-RXN
2-METHYLCITRATE-SYNTHASE-RXN_reverse
RXN-14529,rule0033_06
RXN-14529_reverse,rule0034_05
RXN-9761
RXN-9761_reverse
RXN-8238,rule0010_61
RXN-8238_reverse,rule0011_48
RXN-13094,rule0170_1
RXN-13094_reverse,rule0171_2
TRANS-RXN-167,rule0057_1
TRANS-RXN-167_reverse,rule0058_1
RXN-17473
RXN-17473_reverse
RXN-10756,rule0055_2
RXN-10756_reverse,rule0056_09
HYDROXYMETHYLGLUTARYL-COA-REDUCTASE-RXN,rule0179_2
HYDROXYMETHYLGLUTARYL-COA-REDUCTASE-RXN_reverse,rule0180_1
3-OXOADIPATE-ENOL-LACTONASE-RXN
3-OXOADIPATE-ENOL-LACTONASE-RXN_reverse,rule0138_1
RXN-16043
RXN-16043_reverse
RXN-12068,rule0221_2
RXN-12068_reverse,rule0222_2
RXN-4861,rule0563_1
RXN-4861_reverse
NITRATE-REDUCTASE-NADPH-RXN,rule0296_1
NITRATE-REDUCTASE-NADPH-RXN_reverse,rule0297_1
RXN-16505
RXN-16505_reverse
RXN-14978,rule0005_11
RXN-14978_reverse,rule0004_12
BRANCHED-CHAINAMINOTRANSFERVAL-RXN
BRANCHED-CHAINAMINOTRANSFERVAL-RXN_reverse
RXN-12539
RXN-12539_reverse
2.7.1.154-RXN,rule0014_10
2.7.1.154-RXN_reverse,rule0015_03
RXN-17924
RXN-17924_reverse
RXN-15455,rule0111_1
RXN-15455_reverse
RXN-11191,rule0110_2
RXN-11191_reverse,rule0095_1
ESTRADIOL-17-ALPHA-DEHYDROGENASE-RXN,rule0003_033
ESTRADIOL-17-ALPHA-DEHYDROGENASE-RXN_reverse,rule0002_035
RXN-9172,rule0028_38
RXN-9172_reverse
RXN66-185,rule0012_263
RXN66-185_reverse,rule0013_62
RXN-18353
RXN-18353_reverse
RXN-8282,rule0001_44
RXN-8282_reverse,rule0001_73,rule0384_1
R321-RXN
R321-RXN_reverse
4.3.1.17-RXN,rule0340_1
4.3.1.17-RXN_reverse,rule0341_1
TETRAHYDROXYPTERIDINE-CYCLOISOMERASE-RXN
TETRAHYDROXYPTERIDINE-CYCLOISOMERASE-RXN_reverse
RXN-17035,rule0061_4
RXN-17035_reverse,rule0062_19
RXN-14570,rule0122_17
RXN-14570_reverse
RXN-10697,rule0020_02
RXN-10697_reverse,rule0019_07
RXN-17511,rule0145_6
RXN-17511_reverse,rule0147_2
RXN-15973,rule0003_177
RXN-15973_reverse,rule0002_154
INOSINATE-NUCLEOSIDASE-RXN,rule0012_257
INOSINATE-NUCLEOSIDASE-RXN_reverse,rule0013_20
RXN-4603
RXN-4603_reverse
RXN-8723,rule0001_86
RXN-8723_reverse,rule0001_66,rule0384_1
RXN-16446
RXN-16446_reverse
RXN-12109,rule0051_12
RXN-12109_reverse,rule0053_17
ATPPHOSPHORIBOSYLTRANS-RXN
ATPPHOSPHORIBOSYLTRANS-RXN_reverse
2.5.1.66-RXN
2.5.1.66-RXN_reverse
RXN-92,rule0009_32
RXN-92_reverse,rule0008_23
RXN0-5180,rule0238_2
RXN0-5180_reverse,rule0239_1
RXN-15013,rule0246_1
RXN-15013_reverse,rule0245_1
RXN-7600,rule0033_05
RXN-7600_reverse
RXN-17962,rule0041_16
RXN-17962_reverse,rule0042_09
DISCADENINE-SYNTHASE-RXN
DISCADENINE-SYNTHASE-RXN_reverse
RXN-15501,rule0005_42
RXN-15501_reverse,rule0004_12
RXN-13996,rule0101_1
RXN-13996_reverse,rule0100_03
RXN-18387,rule0170_1
RXN-18387_reverse,rule0171_1
